priority,quantity,sales,shipping,price,cost,customer,category,name,container,margin
Not Specified,34,563.82,Regular Air,16.51,2.99,Corporate,Office Supplies,JM Magazine Binder,Small Box,0.37
Not Specified,31,502.44,Regular Air,15.51,17.78,Corporate,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black",Small Box,0.59
Not Specified,10,165.04,Express Air,15.99,13.18,Corporate,Office Supplies,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37
High,48,522.97,Regular Air,10.4,5.4,Corporate,Furniture,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Small Pack,0.51
High,48,199.46,Regular Air,4.28,4.79,Corporate,Office Supplies,Xerox 1962,Small Box,0.4
Medium,17,1954.796,Regular Air,140.99,4.2,Small Business,Technology,7160,Small Box,0.59
High,2,316.52,Regular Air,152.48,4,Home Office,Technology,Adesso Programmable 142-Key Keyboard,Small Box,0.79
High,5,155.39,Regular Air,32.98,5.5,Home Office,Technology,PC Concepts 116 Key Quantum 3000 Keyboard,Small Box,0.75
Not Specified,36,12175.82,Delivery Truck,320.98,58.95,Home Office,Furniture,Hon 4070 Series Pagoda¢â Round Back Stacking Chairs,Jumbo Drum,0.57
Not Specified,5,101.21,Express Air,18.97,5.21,Home Office,Office Supplies,Xerox 1887,Small Box,0.37
Not Specified,32,1585.64,Regular Air,48.91,5.81,Home Office,Office Supplies,Xerox 1891,Small Box,0.38
Not Specified,6,906.02,Delivery Truck,150.98,66.27,Small Business,Furniture,Bush Mission Pointe Library,Jumbo Box,0.65
Not Specified,43,170.88,Regular Air,3.81,5.44,Small Business,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Small Box,0.36
Not Specified,46,3725.53,Regular Air,76.72,19.95,Corporate,Office Supplies,Honeywell Enviracaire¢ç Portable Air Cleaner for up to 8 x 10 Room,Large Box,0.54
Medium,41,133.23,Regular Air,3.14,1.92,Home Office,Office Supplies,Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,0.84
Medium,21,146.25,Express Air,6.35,1.02,Home Office,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.39
Medium,40,434.62,Regular Air,11.5,7.19,Corporate,Office Supplies,Ibico Covers for Plastic or Wire Binding Elements,Small Box,0.4
Critical,27,2654.16,Delivery Truck,90.97,28,Consumer,Technology,Lexmark Z55se Color Inkjet Printer,Jumbo Drum,0.38
Critical,16,36.23,Regular Air,2.12,1.99,Consumer,Technology,Fuji Slim Jewel Case CD-R,Small Pack,0.55
Critical,15,1722.65,Delivery Truck,114.98,51.42,Consumer,Furniture,Sauder Camden County Collection Library,Jumbo Box,0.65
Not Specified,39,493.26,Regular Air,12.53,0.49,Small Business,Office Supplies,Round Specialty Laser Printer Labels,Small Box,0.38
Not Specified,37,192.15,Express Air,5.18,2.04,Small Business,Office Supplies,Array¢ç Memo Cubes,Wrap Bag,0.36
Low,33,3633.03,Regular Air,120.98,9.07,Home Office,Office Supplies,GBC VeloBinder Electric Binding Machine,Small Box,0.35
Critical,1,3.42,Regular Air,1.88,1.49,Corporate,Office Supplies,Staples¢ç General Use 3-Ring Binders,Small Box,0.37
Low,12,522.49,Regular Air,43.22,16.71,Corporate,Technology,"Fellowes Mobile Numeric Keypad, Graphite",Small Box,0.66
Low,49,28359.4,Regular Air,574.74,24.49,Corporate,Technology,Polycom ViaVideo¢â Desktop Video Communications Unit,Large Box,0.37
Low,12,123.76,Regular Air,10.14,2.27,Corporate,Office Supplies,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36
Not Specified,47,1124.3,Delivery Truck,25.98,14.36,Corporate,Furniture,"Global Stack Chair without Arms, Black",Jumbo Drum,0.6
Not Specified,11,43.57,Regular Air,4.13,0.99,Corporate,Office Supplies,Avery 491,Small Box,0.39
Not Specified,23,2610.894,Regular Air,125.99,5.63,Corporate,Technology,8290,Small Box,0.6
High,13,88.38,Regular Air,6.48,8.4,Small Business,Office Supplies,Xerox 212,Small Box,0.37
Low,50,2348.66,Regular Air,46.89,5.1,Home Office,Office Supplies,Bionaire Personal Warm Mist Humidifier/Vaporizer,Medium Box,0.46
Low,19,2657.12,Delivery Truck,140.98,36.09,Home Office,Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",Jumbo Box,0.77
Low,49,9579.62,Delivery Truck,212.6,110.2,Home Office,Furniture,Bush Advantage Collection¢ç Round Conference Table,Jumbo Box,0.73
Low,10,42.67,Regular Air,4.18,2.99,Small Business,Office Supplies,Avery¢ç Durable Slant Ring Binders With Label Holder,Small Box,0.37
Medium,18,292.11,Express Air,15.42,10.68,Corporate,Office Supplies,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58
High,6,12.61,Regular Air,1.88,1.49,Corporate,Office Supplies,Staples¢ç General Use 3-Ring Binders,Small Box,0.37
Not Specified,15,110.15,Regular Air,6.75,2.99,Corporate,Office Supplies,Wilson Jones DublLock¢ç D-Ring Binders,Small Box,0.35
Not Specified,13,3335.27,Delivery Truck,243.98,43.32,Corporate,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Jumbo Drum,0.55
Critical,35,106.06,Regular Air,3.14,1.92,Consumer,Office Supplies,Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,0.84
Low,8,103.75,Regular Air,12.97,1.49,Small Business,Office Supplies,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Small Box,0.35
Low,9,855.865,Regular Air,110.99,2.5,Small Business,Technology,T18,Small Box,0.57
Not Specified,39,223.64,Regular Air,5.98,5.35,Home Office,Office Supplies,Xerox 1947,Small Box,0.4
Not Specified,2,202.64,Delivery Truck,90.97,14,Small Business,Technology,Lexmark Z54se Color Inkjet Printer,Jumbo Drum,0.36
Not Specified,23,133.69,Regular Air,5.98,7.15,Small Business,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Small Box,0.36
High,12,262.76,Regular Air,20.98,21.2,Home Office,Furniture,36X48 HARDFLOOR CHAIRMAT,Medium Box,0.78
Medium,44,176.26,Regular Air,4.13,0.5,Corporate,Office Supplies,Avery 506,Small Box,0.39
Low,26,3505.6,Regular Air,128.24,12.65,Home Office,Furniture,SAFCO Folding Chair Trolley,Medium Box,
Low,14,84.09,Regular Air,5.4,7.78,Consumer,Office Supplies,3M Organizer Strips,Small Box,0.37
Not Specified,25,135.23,Regular Air,5.68,3.6,Consumer,Office Supplies,Acme¢ç Preferred Stainless Steel Scissors,Small Pack,0.56
Critical,29,1222.59,Regular Air,40.97,1.99,Corporate,Technology,"TDK 4.7GB DVD-R Spindle, 15/Pack",Small Pack,0.42
Critical,39,1939.66,Express Air,48.92,4.5,Consumer,Office Supplies,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Small Box,0.59
Critical,5,21.56,Regular Air,4.13,0.5,Consumer,Office Supplies,Avery 506,Small Box,0.39
Critical,43,115.81,Regular Air,2.88,1.01,Consumer,Office Supplies,"Sanford Colorific Colored Pencils, 12/Box",Wrap Bag,0.55
Medium,7,131.61,Regular Air,17.48,1.99,Consumer,Technology,"Maxell Pro 80 Minute CD-R, 10/Pack",Small Pack,0.45
Critical,23,750.39,Regular Air,30.98,11.63,Consumer,Office Supplies,GBC Linen Binding Covers,Small Box,0.37
Critical,4,18.46,Regular Air,4.91,0.5,Consumer,Office Supplies,Avery 508,Small Box,0.36
High,16,2366.18,Regular Air,162.93,19.99,Home Office,Office Supplies,Multimedia Mailers,Small Box,0.39
High,49,675.71,Regular Air,13.79,8.78,Home Office,Furniture,9-3/4 Diameter Round Wall Clock,Small Box,0.43
High,16,292.978,Regular Air,20.99,3.3,Home Office,Technology,Accessory39,Small Pack,0.81
High,50,3615.8405,Regular Air,85.99,3.3,Home Office,Technology,Accessory20,Small Pack,0.37
Critical,43,319.69,Regular Air,7.28,3.52,Home Office,Technology,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Small Pack,0.68
Low,47,706.68,Regular Air,15.94,5.45,Corporate,Office Supplies,Boston 16701 Slimline Battery Pencil Sharpener,Small Pack,0.55
Critical,18,33.96,Regular Air,1.76,0.7,Home Office,Office Supplies,Newell 310,Wrap Bag,0.56
Low,48,8374.132,Regular Air,205.99,8.99,Corporate,Technology,TimeportP7382,Small Box,0.56
Medium,50,1406.64,Regular Air,27.18,8.23,Corporate,Office Supplies,"Tyvek ¢ç Top-Opening Peel & Seel Envelopes, Plain White",Small Box,0.38
Medium,1,192.49,Delivery Truck,160.98,30,Home Office,Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Jumbo Drum,0.62
High,16,5403.75,Delivery Truck,355.98,58.92,Small Business,Furniture,Hon 4700 Series Mobuis¢â Mid-Back Task Chairs with Adjustable Arms,Jumbo Drum,0.64
Low,9,54.79,Regular Air,5.85,2.27,Small Business,Office Supplies,"Dixon My First Ticonderoga Pencil, #2",Wrap Bag,0.56
Low,23,356.09,Regular Air,15.67,1.39,Home Office,Office Supplies,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38
Not Specified,26,1075.91,Regular Air,39.98,7.12,Consumer,Technology,"IBM Active Response Keyboard, Black",Small Box,0.67
Not Specified,21,1176.859,Regular Air,65.99,3.99,Consumer,Technology,StarTAC 7760,Small Box,0.59
Not Specified,24,6408.3,Delivery Truck,280.98,35.67,Consumer,Furniture,Global Adaptabilities¢â Conference Tables,Jumbo Box,0.66
High,27,63.71,Regular Air,2.08,5.33,Corporate,Furniture,Eldon¢ç Wave Desk Accessories,Small Box,0.43
High,14,5388.8,Delivery Truck,370.98,99,Corporate,Office Supplies,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Jumbo Drum,0.65
Critical,43,1751.68,Express Air,41.94,2.99,Corporate,Office Supplies,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Small Box,0.35
Critical,17,86.47,Regular Air,5.28,2.99,Corporate,Office Supplies,"Wilson Jones 1"" Hanging DublLock¢ç Ring Binders",Small Box,0.37
Critical,31,684.5,Regular Air,21.38,8.99,Corporate,Office Supplies,Boston 1730 StandUp Electric Pencil Sharpener,Small Pack,0.59
High,25,158.83,Regular Air,5.77,5.92,Home Office,Furniture,DAX Cubicle Frames - 8x10,Medium Box,0.55
High,32,4655.07,Delivery Truck,140.98,53.48,Corporate,Furniture,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65
High,44,10087.6,Regular Air,218.08,18.06,Corporate,Furniture,"Lifetime Advantage¢â Folding Chairs, 4/Carton",Large Box,0.57
High,34,1608.08,Express Air,50.98,6.5,Corporate,Technology,Microsoft Natural Multimedia Keyboard,Small Box,0.73
High,47,7890.89,Express Air,167.27,35,Home Office,Office Supplies,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Large Box,0.85
Not Specified,36,10122.72,Delivery Truck,280.98,57,Corporate,Furniture,Hon 2090 ¡°Pillow Soft¡± Series Mid Back Swivel/Tilt Chairs,Jumbo Drum,0.78
Not Specified,39,203.6,Regular Air,4.98,7.44,Corporate,Office Supplies,Xerox 1922,Small Box,0.36
Not Specified,30,115.81,Regular Air,3.98,0.83,Corporate,Office Supplies,Fluorescent Highlighters by Dixon,Wrap Bag,0.51
Critical,37,2912.015,Regular Air,95.99,4.9,Corporate,Technology,T60,Small Box,0.56
Not Specified,31,74.75,Express Air,2.28,5.2,Corporate,Office Supplies,"Binney & Smith inkTank¢â Erasable Pocket Highlighter, Chisel Tip, Yellow",Wrap Bag,0.41
Low,12,81.9,Regular Air,6.68,5.2,Consumer,Office Supplies,Xerox 1977,Small Box,0.37
Low,1,12.18,Regular Air,10.14,2.27,Small Business,Office Supplies,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36
Not Specified,46,3197.45,Regular Air,73.98,4,Corporate,Technology,Keytronic 105-Key Spanish Keyboard,Small Box,0.77
Not Specified,21,78.57,Regular Air,3.68,1.32,Corporate,Office Supplies,"*Staples* vLetter Openers, 2/Pack",Wrap Bag,0.83
Not Specified,16,95.9,Regular Air,6.08,0.91,Corporate,Office Supplies,Zebra Zazzle Fluorescent Highlighters,Wrap Bag,0.51
Not Specified,28,517.91,Regular Air,19.9,5.29,Corporate,Office Supplies,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Medium Box,0.4
Not Specified,46,162.28,Regular Air,3.36,6.27,Corporate,Office Supplies,Cardinal Poly Pocket Divider Pockets for Ring Binders,Small Box,0.4
High,31,162.58,Regular Air,4.89,4.93,Small Business,Technology,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66
High,44,6815.23,Delivery Truck,150.98,39.25,Small Business,Furniture,"Iceberg OfficeWorks 42"" Round Tables",Jumbo Box,0.75
High,2,203.3,Regular Air,79.52,48.2,Home Office,Furniture,Eldon Cleatmat Plus¢â Chair Mats for High Pile Carpets,Medium Box,0.74
High,2,196.8515,Regular Air,125.99,5.99,Home Office,Technology,i600,Small Box,0.56
Low,20,637.04,Regular Air,30.73,4,Corporate,Technology,Fellowes 17-key keypad for PS/2 interface,Small Box,0.75
Not Specified,49,1058.43,Regular Air,20.28,6.68,Home Office,Furniture,"Seth Thomas 8 1/2"" Cubicle Clock",Small Box,0.53
Critical,39,147.88,Regular Air,3.58,5.47,Small Business,Office Supplies,Avery Poly Binder Pockets,Small Box,0.37
Medium,6,64.37,Express Air,8.85,5.6,Consumer,Office Supplies,GBC Standard Plastic Binding Systems Combs,Small Box,0.36
Medium,10,4588.55,Regular Air,449.99,24.49,Consumer,Technology,Canon PC940 Copier,Large Box,0.52
Critical,16,5403.75,Delivery Truck,355.98,58.92,Corporate,Furniture,Hon 4700 Series Mobuis¢â Mid-Back Task Chairs with Adjustable Arms,Jumbo Drum,0.64
Critical,1,192.49,Delivery Truck,160.98,30,Corporate,Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Jumbo Drum,0.62
Critical,24,6408.3,Delivery Truck,280.98,35.67,Corporate,Furniture,Global Adaptabilities¢â Conference Tables,Jumbo Box,0.66
Low,19,596.21,Regular Air,34.23,5.02,Corporate,Furniture,Hand-Finished Solid Wood Document Frame,Small Box,0.55
High,22,96.75,Regular Air,4.24,5.41,Home Office,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,Small Box,0.35
Low,27,14357.85,Delivery Truck,500.98,41.44,Small Business,Furniture,DMI Eclipse Executive Suite Bookcases,Jumbo Box,0.66
Critical,48,1210.02,Delivery Truck,25.98,14.36,Corporate,Furniture,"Global Stack Chair without Arms, Black",Jumbo Drum,0.6
Medium,14,461.55,Regular Air,33.98,19.99,Corporate,Furniture,"Linden¢ç 12"" Wall Clock With Oak Frame",Small Box,0.55
Medium,48,418.82,Regular Air,8.6,6.19,Corporate,Office Supplies,Avery Printable Repositionable Plastic Tabs,Small Box,0.38
Not Specified,10,767.34,Regular Air,73.98,14.52,Corporate,Technology,Keytronic French Keyboard,Small Box,0.65
Low,14,74.02,Regular Air,5.08,3.63,Consumer,Furniture,"Master Caster Door Stop, Gray",Wrap Bag,0.51
Low,22,1276.17,Regular Air,55.48,6.79,Consumer,Office Supplies,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Small Box,0.37
High,12,464.57,Regular Air,39.98,4,Corporate,Technology,Microsoft Natural Keyboard Elite,Small Box,0.7
Medium,32,690.88,Regular Air,22.98,7.58,Home Office,Furniture,"Seth Thomas 12"" Clock w/ Goldtone Case",Small Box,0.51
High,12,28.41,Regular Air,1.98,4.77,Consumer,Office Supplies,Avery Reinforcements for Hole-Punch Pages,Small Box,0.4
Medium,27,2645.88,Delivery Truck,100.98,57.38,Corporate,Furniture,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78
Medium,20,2573.29,Delivery Truck,122.99,70.2,Corporate,Furniture,"Global High-Back Leather Tilter, Burgundy",Jumbo Drum,0.74
Medium,23,127.17,Regular Air,5.53,6.98,Corporate,Office Supplies,Avery Durable Poly Binders,Small Box,0.39
Medium,21,111.66,Regular Air,4.98,5.49,Home Office,Office Supplies,Xerox 1952,Small Box,0.38
Medium,24,231.95,Regular Air,9.78,1.99,Home Office,Technology,"Memorex Slim 80 Minute CD-R, 10/Pack",Small Pack,0.43
Medium,3,299.08,Regular Air,90.48,19.99,Corporate,Office Supplies,Tyvek¢ç Side-Opening Peel & Seel¢ç Expanding Envelopes,Small Box,0.4
Medium,26,566.39,Regular Air,22.84,8.18,Corporate,Office Supplies,Xerox 1991,Small Box,0.39
Medium,36,2144.924,Regular Air,65.99,5.26,Corporate,Technology,g520,Small Box,0.59
Low,25,1907.71,Delivery Truck,70.98,26.74,Home Office,Furniture,"Hon Metal Bookcases, Black",Jumbo Box,0.6
Low,12,65.89,Regular Air,5.08,2.03,Home Office,Furniture,"Master Caster Door Stop, Brown",Wrap Bag,0.51
Low,20,310.31,Regular Air,14.58,7.4,Corporate,Furniture,DAX Clear Channel Poster Frame,Small Box,0.48
High,40,5554.036,Regular Air,175.99,8.99,Small Business,Technology,2180,Small Box,0.57
Low,23,496.15,Regular Air,20.98,1.49,Small Business,Office Supplies,Avery Legal 4-Ring Binder,Small Box,0.35
Low,48,139.86,Regular Air,2.88,1.01,Small Business,Office Supplies,"Sanford Colorific Colored Pencils, 12/Box",Wrap Bag,0.55
Low,6,926.585,Regular Air,195.99,3.99,Small Business,Technology,R380,Small Box,0.58
Not Specified,9,799.98,Delivery Truck,90.97,14,Corporate,Technology,Lexmark Z54se Color Inkjet Printer,Jumbo Drum,0.36
Not Specified,7,363.57,Delivery Truck,44.43,46.59,Corporate,Furniture,Hon 61000 Series Interactive Training Tables,Jumbo Box,0.67
Low,49,9752.25,Regular Air,209.84,21.21,Small Business,Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Large Box,0.59
High,24,7547.14,Regular Air,320.98,24.49,Home Office,Furniture,Hon Pagoda¢â Stacking Chairs,Large Box,0.55
High,2,224.32,Regular Air,110.98,13.99,Home Office,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Medium Box,0.69
High,15,311.98,Regular Air,22.01,5.53,Home Office,Office Supplies,Boston 16801 Nautilus¢â Battery Pencil Sharpener,Small Pack,0.59
High,17,2312.96,Delivery Truck,145.45,17.85,Small Business,Technology,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56
Medium,45,5181.08,Delivery Truck,114.98,58.72,Consumer,Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Jumbo Box,0.76
Medium,38,10567.45,Regular Air,299.99,11.64,Consumer,Technology,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Large Box,0.5
Medium,38,1679.04,Regular Air,40.97,14.45,Consumer,Furniture,Dana Halogen Swing-Arm Architect Lamp,Large Box,0.57
Medium,2,2055.97,Express Air,999.99,13.99,Consumer,Technology,"Polycom Soundstation EX Audio-Conferencing Telephone, Black",Medium Box,0.36
Low,4,27.34,Regular Air,5.78,4.96,Home Office,Office Supplies,Xerox 1899,Small Box,0.36
Low,23,683.68,Regular Air,28.48,8.99,Home Office,Technology,"Imation IBM Formatted Diskettes, 100/Pack",Small Pack,0.7
High,10,156.15,Express Air,15.73,7.42,Corporate,Office Supplies,Acme Galleria¢ç Hot Forged Steel Scissors with Colored Handles,Small Pack,0.56
Critical,28,193.16,Regular Air,6.48,6.6,Consumer,Office Supplies,Xerox 21,Small Box,0.37
Low,13,2323.36,Regular Air,179.99,19.99,Corporate,Technology,Motorola SB4200 Cable Modem,Small Box,0.48
High,2,383.45,Delivery Truck,180.98,26.2,Small Business,Furniture,Global Ergonomic Managers Chair,Jumbo Drum,0.59
Medium,38,871.25,Regular Air,22.99,8.99,Corporate,Office Supplies,Boston KS Multi-Size Manual Pencil Sharpener,Small Pack,0.57
Medium,46,537.87,Regular Air,11.66,7.95,Corporate,Office Supplies,"Hunt BOSTON¢ç Vista¢ç Battery-Operated Pencil Sharpener, Black",Small Pack,0.58
Low,24,138.75,Regular Air,5.84,1,Corporate,Office Supplies,"Quartet Omega¢ç Colored Chalk, 12/Pack",Wrap Bag,0.38
Critical,50,820.52,Regular Air,15.99,13.18,Corporate,Office Supplies,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37
Not Specified,41,823.13,Regular Air,18.94,1.49,Consumer,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,Small Box,0.35
Not Specified,30,569.61,Regular Air,17.98,4,Consumer,Technology,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",Small Box,0.79
Not Specified,27,75.06,Regular Air,2.89,0.5,Consumer,Office Supplies,Avery 498,Small Box,0.38
Not Specified,46,225.13,Express Air,4.48,7.24,Consumer,Furniture,"Stacking Tray, Side-Loading, Legal, Smoke",Small Box,0.54
Critical,23,121.73,Regular Air,4.98,6.07,Consumer,Office Supplies,Xerox 1897,Small Box,0.36
High,27,114.86,Regular Air,4.28,0.94,Corporate,Office Supplies,Newell 336,Wrap Bag,0.56
Low,40,1757.43,Express Air,44.01,3.5,Corporate,Office Supplies,Acco Smartsocket¢ç Color-Coded Six-Outlet AC Adapter Model Surge Protectors,Small Box,0.59
Low,8,137.26,Regular Air,15.99,13.18,Corporate,Office Supplies,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37
Low,20,2913.1455,Regular Air,175.99,4.99,Corporate,Technology,5165,Small Box,0.59
Critical,35,246.98,Regular Air,7.38,5.21,Corporate,Furniture,"Eldon¢ç Expressions¢â Wood Desk Accessories, Oak",Small Box,0.56
Low,47,1968.47,Regular Air,40.97,8.99,Small Business,Office Supplies,Sanford 52201 APSCO Electric Pencil Sharpener,Small Pack,0.59
Not Specified,29,6250.936,Delivery Truck,262.11,62.74,Corporate,Furniture,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75
Not Specified,33,7869.22,Delivery Truck,243.98,43.32,Consumer,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Jumbo Drum,0.55
Not Specified,36,912.44,Regular Air,25.38,8.99,Consumer,Furniture,"Executive Impressions 13"" Chairman Wall Clock",Small Pack,0.5
Medium,47,838.4,Express Air,17.7,9.47,Corporate,Office Supplies,Portfile¢ç Personal File Boxes,Small Box,0.59
Medium,4,377.213,Regular Air,110.99,2.5,Consumer,Technology,T18,Small Box,0.57
Low,25,854.88,Regular Air,33.98,19.99,Corporate,Furniture,"Linden¢ç 12"" Wall Clock With Oak Frame",Small Box,0.55
Low,46,80.27,Regular Air,1.76,0.7,Corporate,Office Supplies,Newell 326,Wrap Bag,0.56
Not Specified,10,994.04,Regular Air,95.99,35,Corporate,Office Supplies,Safco Industrial Wire Shelving,Large Box,
Critical,38,10223.19,Regular Air,289.53,19.99,Corporate,Office Supplies,Hoover Upright Vacuum With Dirt Cup,Small Box,0.56
Critical,50,312.42,Regular Air,6.48,5.4,Corporate,Office Supplies,Xerox 207,Small Box,0.37
High,10,1111.008,Delivery Truck,146.34,43.75,Home Office,Furniture,Bevis Round Conference Table Top & Single Column Base,Jumbo Box,0.65
High,27,435.27,Regular Air,15.98,8.99,Home Office,Technology,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Small Pack,0.64
High,26,723.82,Regular Air,27.42,19.46,Home Office,Furniture,Howard Miller Distant Time Traveler Alarm Clock,Small Box,0.44
Critical,23,1082.43,Regular Air,47.98,3.61,Corporate,Technology,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71
Low,4,40.23,Regular Air,7.77,9.23,Home Office,Office Supplies,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Small Box,0.58
Critical,39,341.55,Regular Air,8.37,10.16,Corporate,Furniture,Westinghouse Clip-On Gooseneck Lamps,Large Box,0.59
Critical,14,98.37,Express Air,6.48,9.17,Corporate,Office Supplies,Xerox 1996,Small Box,0.37
Medium,44,2773.84,Delivery Truck,58.14,36.61,Corporate,Furniture,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Jumbo Box,0.61
Medium,44,289.94,Regular Air,6.48,6.22,Consumer,Office Supplies,Xerox 1894,Small Box,0.37
Medium,8,1848.52,Delivery Truck,218.75,69.64,Consumer,Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Jumbo Box,0.77
Low,31,262.54,Regular Air,8.5,1.99,Consumer,Technology,Hewlett-Packard 4.7GB DVD+R Discs,Small Pack,0.49
Low,12,190.73,Regular Air,15.99,9.4,Consumer,Technology,"AT&T Black Trimline Phone, Model 210",Small Box,0.49
Low,17,1332.97,Regular Air,95.99,8.99,Consumer,Technology,600 Series Flip,Small Box,0.57
Critical,40,227.37,Regular Air,5.28,5.61,Corporate,Office Supplies,Xerox 1954,Small Box,0.4
Not Specified,18,136.41,Regular Air,6.84,8.37,Consumer,Office Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Small Pack,0.58
Not Specified,42,1312.65,Regular Air,30.98,5.76,Consumer,Office Supplies,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4
Low,45,283.13,Regular Air,6.48,6.81,Home Office,Office Supplies,Xerox 1930,Small Box,0.36
High,40,104.39,Regular Air,2.61,0.5,Home Office,Office Supplies,Avery 494,Small Box,0.39
Medium,14,618.84,Regular Air,41.47,34.2,Corporate,Furniture,Eldon Econocleat¢ç Chair Mats for Low Pile Carpets,Wrap Bag,0.73
Low,26,100.41,Regular Air,3.57,4.17,Corporate,Office Supplies,Barrel Sharpener,Small Pack,0.59
Low,48,8101.9875,Regular Air,200.99,4.2,Corporate,Technology,2160i,Small Box,0.59
Low,8,1313.811,Regular Air,195.99,8.99,Corporate,Technology,A1228,Small Box,0.58
High,39,6330.086,Regular Air,205.99,2.5,Corporate,Technology,V70,Small Box,0.59
Not Specified,8,40.26,Regular Air,4.28,5.68,Home Office,Office Supplies,Xerox 199,Small Box,0.4
Critical,5,95.38,Regular Air,15.99,13.18,Small Business,Office Supplies,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37
Low,7,48.04,Regular Air,6.48,5.94,Corporate,Office Supplies,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Small Box,0.37
Not Specified,2,19.36,Regular Air,6.78,6.18,Home Office,Office Supplies,Strathmore Photo Mount Cards,Small Box,0.39
Not Specified,30,206.27,Regular Air,6.81,5.48,Home Office,Office Supplies,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Small Box,0.37
Not Specified,15,308.54,Express Air,19.84,4.1,Corporate,Office Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44
Not Specified,20,400.57,Regular Air,19.98,5.77,Small Business,Office Supplies,Xerox Blank Computer Paper,Small Box,0.38
Critical,35,233.39,Regular Air,6.48,9.54,Small Business,Office Supplies,Xerox 1905,Small Box,0.37
Not Specified,49,2072.12,Express Air,40.97,8.99,Small Business,Office Supplies,Sanford 52201 APSCO Electric Pencil Sharpener,Small Pack,0.59
Not Specified,33,151.19,Regular Air,4.71,0.7,Small Business,Office Supplies,Sterling Rubber Bands by Alliance,Wrap Bag,0.85
Low,3,133.9,Regular Air,43.41,2.99,Home Office,Office Supplies,Satellite Sectional Post Binders,Small Box,0.39
