name,time,driving,owner,location,engine,price
Bajaj Pulsar,2011,5000,first owner,delhi,15,22100
Hero Passion Xpro,2015,17500,first owner,delhi,6.72,31000
Bajaj Pulsar 220F,2012,18500,first owner,delhi,21,25000
Hero Splendor iSmart,2016,18500,first owner,delhi,9.3,33000
Yamaha FZs,2015,15000,first owner,delhi,13,48500
Yamaha FZs,2014,25000,first owner,delhi,13,38000
Bajaj V15,2017,38456,first owner,jaipur,11.8,32250
Bajaj Pulsar,2020,85000,first owner,jaipur,11.64,61000
Bajaj Pulsar NS200,2015,26500,first owner,delhi,24.2,57612
Hero Xpulse,2020,9200,first owner,bangalore,17.8,102000
Royal Enfield Classic,2017,42000,first owner,sadabad,19.8,135000
Suzuki Gixxer,2019,1100,first owner,bangalore,14,125000
KTM Duke,2018,24000,first owner,unnao,42.9,205000
KTM RC 125CC,2020,97000,fourth owner or more,bangalore,14.5,68000
Suzuki Inazuma,2014,17500,first owner,pune,24,140000
KTM Duke,2017,7500,first owner,pune,24.6,127500
Bajaj Pulsar,2011,34000,first owner,mumbai,21,30000
Bajaj Pulsar,2011,7000,first owner,mumbai,15,24200
UM Renegade Commando,2018,15000,first owner,gurgaon,24.8,97950
Royal Enfield Thunderbird,2018,9404,first owner,delhi,19.8,136000
Bajaj Platina Alloy,2018,9423,first owner,bangalore,8.1,52000
Royal Enfield Classic,2018,14000,first owner,delhi,19.8,156000
KTM Duke,2020,1900,first owner,delhi,42.9,277466
KTM RC,2018,95000,fourth owner or more,bangalore,25.1,79000
Royal Enfield Classic,2018,20100,first owner,kolkata,27.2,145000
Royal Enfield Classic,2014,44000,first owner,delhi,19.8,100000
Bajaj Pulsar 200,2014,50000,first owner,mumbai,24.2,50000
Yamaha FZ25,2018,13000,first owner,mumbai,20.3,128600
Mahindra Mojo Black,2020,1600,first owner,kolkata,25.35,185000
KTM Duke,2016,65000,fourth owner or more,sirsa,24.6,54000
Bajaj CT 100,2006,11900,second owner,chennai,8.1,20000
Hero Super Splendor,2019,19000,first owner,saharanpur,9,56000
Royal Enfield Classic,2018,24212,first owner,faridabad,27.2,112546
Honda CBR 150R,2013,28200,second owner,pune,18.28,49000
Bajaj Pulsar,2016,27000,first owner,delhi,21,57100
Royal Enfield Classic,2013,19060,first owner,thane,27.2,85000
Royal Enfield Classic,2020,1387,first owner,kolkata,19.1,175000
Bajaj Avenger Cruise,2017,17000,first owner,chandigarh,19,65000
Yamaha YZF-R15 2.0,2012,42000,first owner,bangalore,16.7,56600
Royal Enfield Classic,2018,25000,first owner,faridabad,19.8,136300
Husqvarna Svartpilen 250,2020,3000,first owner,delhi,29.63,205000
Yamaha YZF-R15 2.0,2016,21000,first owner,delhi,16.7,85000
Royal Enfield Classic,2016,13000,first owner,delhi,19.8,105000
Bajaj Avenger Street,2017,10800,first owner,delhi,19,50000
Royal Enfield Himalayan,2020,10150,first owner,jabalpur,24.3,201000
Hero Splendor Pro,2015,33000,first owner,bangalore,8.2,33000
Yamaha YZF-R3,2020,216,first owner,chennai,41.4,300000
Bajaj Pulsar,2019,78000,fourth owner or more,jaipur,21,41000
Triumph Street Triple,2016,32300,second owner,ghaziabad,77,490000
Yamaha YZF-R15 V3,2020,1300,first owner,faridabad,18.7,155000
Royal Enfield Classic,2015,16200,first owner,kanpur nagar,19.8,115000
Bajaj Pulsar 220F,2021,1700,first owner,hyderabad,20.11,150000
Hero Passion Plus,2007,80000,first owner,sehore,7.5,20000
Kawasaki Ninja 650,2018,12000,first owner,hyderabad,67.2,526300
Royal Enfield Classic,2017,11000,first owner,faridabad,19.8,110000
Hyosung GT650R 2013,2013,19563,first owner,bangalore,72.68,190000
Hyosung GT250R 2016,2016,4000,first owner,delhi,28,230000
Hyosung GT250R 2016,2016,16500,first owner,ranchi,28,210900
Bajaj V15,2019,6909,first owner,faridabad,11.8,46350
Hero CBZ Xtreme,2014,50000,second owner,hyderabad,14.4,17958
Harley-Davidson Street 750,2014,45141,second owner,ranchi,47,335000
Hero Passion Pro,2015,38000,first owner,pune,8.2,47000
Hero HF Deluxe,2014,31281,first owner,jaipur,7.7,30600
Royal Enfield Classic,2017,20000,first owner,noida,19.8,119100
TVS Apache RR310,2019,5000,first owner,nalbari,33,210000
Honda CBR 150R,2013,17000,first owner,mumbai,18.28,45000
KTM RC,2020,98000,fourth owner or more,bangalore,24.6,93000
Ducati Monster 797,2017,3000,first owner,delhi,75,625000
Suzuki Gixxer SF,2017,8000,first owner,ahmedabad,14.6,67000
Bajaj Pulsar 135LS,2010,80000,second owner,hyderabad,13,23000
Royal Enfield Bullet,2011,46668,first owner,hyderabad,19.8,84000
Bajaj Pulsar,2015,44000,first owner,gurgaon,17,32000
Royal Enfield??Bullet,1990,30000,third owner,bareilly,19.8,120000
Yamaha RX135,2000,45000,second owner,uthagamandalam,14,125000
Royal Enfield Electra,2016,11786,second owner,delhi,19.8,85000
Hero Splendor Plus,2016,12962,first owner,bhopal,8.2,45000
KTM RC,2017,25000,first owner,vadodara,42.3,189100
Yamaha YZF-R15 2.0,2013,48000,first owner,mumbai,16.7,50000
KTM RC,2017,89000,fourth owner or more,jaipur,42.3,94000
Bajaj Avenger,2013,18000,first owner,delhi,19,35000
Royal Enfield Classic,2017,17000,first owner,rajkot,19.8,138000
Royal Enfield Classic,2020,12000,first owner,pune,19.1,190000
Husqvarna Svartpilen 250,2020,2800,first owner,bangalore,29.63,230000
Hero Passion Pro,2017,23000,second owner,bangalore,8.2,44000
Royal Enfield Classic,2019,4192,first owner,namakkal,27.2,210800
Hero Karizma R,2013,48000,second owner,rajkot,17,24800
Yamaha YZF-R15,2014,45000,first owner,gurgaon,16,65000
Bajaj Avenger Street,2016,25045,second owner,nanauta,14.3,52200
Bajaj Pulsar 220F,2011,89000,third owner,bangalore,21,38000
Bajaj Pulsar,2014,89000,third owner,jaipur,21,35000
Suzuki Intruder M800,2015,15600,third owner,pune,50,475000
Suzuki Gixxer,2017,15600,first owner,hyderabad,14,62000
Royal Enfield Classic,2018,7600,first owner,ludhiana,19.8,130000
Yamaha YZF-R3,2018,17800,first owner,delhi,41.4,290000
Royal Enfield Classic,2014,26100,first owner,hyderabad,27.2,90950
Yamaha YZF-R3,2017,42000,first owner,cuttack,41.4,200000
Kawasaki Ninja,2018,22500,first owner,delhi,67.2,433000
Royal Enfield Classic,2017,26877,first owner,delhi,19.8,110000
Royal Enfield Classic,2017,7800,first owner,coimbatore,19.8,138500
Bajaj Pulsar 220F,2018,49000,first owner,patna,21,67000
Bajaj Avenger,2013,17200,first owner,chennai,19,34000
Yamaha FZs,2018,36867,first owner,bangalore,13,85000
Hero Splendor Plus,2017,31000,first owner,ahmedabad,8.2,46000
Royal Enfield Classic,2019,7000,first owner,gurgaon,19.8,141300
Royal Enfield Thunderbird,2015,18000,first owner,noida,19.8,85000
Yamaha YZF-R15,2011,12000,first owner,sonipat,16,48000
Royal Enfield Thunderbird,2017,10000,first owner,chennai,19.8,120000
Benelli TNT 300,2020,4500,first owner,delhi,37.73,295000
Suzuki Intruder M1800R,2014,22000,first owner,delhi,127,925000
KTM RC,2017,16000,second owner,rajkot,25.1,125000
Royal Enfield Classic,2016,17000,first owner,rajkot,19.8,125000
Royal Enfield Classic,2017,17000,first owner,rajkot,19.8,139500
KTM RC,2014,13000,first owner,delhi,43,115000
Yamaha YZF-R15 2.0,2013,26000,second owner,jodhpur,16.7,65000
KTM Duke,2017,17000,first owner,mumbai,24.6,125000
Bajaj Discover 125ST,2012,43000,first owner,moradabad,12.5,28000
Bajaj Pulsar 220F,2017,16200,first owner,gurgaon,21,60000
Bajaj Pulsar AS150,2016,40000,first owner,kolkata,16.8,42600
Royal Enfield Classic,2018,5000,first owner,delhi,19.8,138200
Royal Enfield Thunderbird,2018,17225,first owner,delhi,19.8,126500
Hero Super Splendor,2005,123,first owner,pune,9,11250
Royal Enfield Bullet,2013,21200,first owner,surat,19.8,115000
Yamaha FZs,2016,18000,second owner,delhi,13,48500
Royal Enfield Thunderbird,2015,8000,first owner,pune,19.8,160000
TVS Apache RR310,2020,2900,first owner,sambalpur,33,220000
Yamaha FZs,2009,8000,first owner,bangalore,13,35000
Bajaj Avenger,2016,41615,first owner,pune,19,65000
KTM RC,2018,8000,first owner,mumbai,25.1,140000
Royal Enfield Thunderbird,2015,31500,first owner,jaipur,27.2,99000
Royal Enfield Thunderbird,2016,31811,first owner,surat,19.8,110000
KTM RC,2015,104000,first owner,rupnagar,25,90000
Royal Enfield Thunderbird,2015,5000,first owner,ghaziabad,19.8,103800
Bajaj Avenger Cruise,2020,2850,first owner,bangalore,18.76,135000
Hero Passion Plus,2006,93000,first owner,bangalore,7.5,17000
Hero Splendor NXG,2016,23915,first owner,pune,7,50000
Bajaj Discover,2012,34000,first owner,mumbai,12.5,22825
Royal Enfield Classic,2019,5966,first owner,mumbai,19.8,181563
Royal Enfield Classic,2016,13000,first owner,mumbai,19.8,181563
Hero Karizma R,2014,37000,first owner,mumbai,17,35999
KTM Duke,2016,19000,second owner,delhi,24.6,115000
Hero Glamour i3s,2020,9500,first owner,kolkata,10.72,67500
Royal Enfield Classic,2018,18000,first owner,darbhanga,19.8,125000
Royal Enfield Thunderbird,2015,26250,first owner,mysore,19.8,125000
Harley-Davidson Street 750,2019,3000,first owner,mumbai,47,440000
Hero Passion Pro,2010,17900,first owner,ajmer,8.2,21000
Royal Enfield Bullet,2008,44000,first owner,ludhiana,19.8,65000
Yamaha YZF-R15 2.0,2011,18550,first owner,delhi,16.7,44800
Hero Honda Splendor,2011,30000,first owner,ranchi,6.15,30000
Royal Enfield Classic,2019,27000,first owner,medak,19.8,175000
Royal Enfield Classic,2015,26060,first owner,chennai,27.2,100000
Bajaj CT 100,2019,7000,first owner,saharanpur,8.1,39000
Royal Enfield Classic,2019,18800,first owner,udaipur,27.2,190000
Bajaj Avenger,2015,34500,first owner,lucknow,19,70000
Royal Enfield Classic,2019,3000,first owner,delhi,27.2,193193
Royal Enfield Thunderbird,2014,60000,first owner,ahmedabad,19.8,90000
Bajaj Discover 125ST,2012,55000,first owner,pune,12.5,25000
Yamaha FZs,2013,32200,first owner,mumbai,13,33200
Yamaha YZF-R15 2.0,2014,18000,fourth owner or more,bangalore,16.7,57541
Royal Enfield Classic,2015,65000,first owner,jaipur,19.8,110000
Bajaj Avenger Street,2020,6300,first owner,vaijapur,14.79,100000
Royal Enfield Classic,2015,24000,first owner,thiruvananthapuram,19.8,120500
Royal Enfield Classic,2020,9200,first owner,vijayawada,19.1,179000
Hero CD Deluxe,2010,80000,first owner,ludhiana,7.7,24999
Royal Enfield Thunderbird,2015,15000,second owner,bangalore,19.8,100000
KTM Duke,2017,30000,first owner,mumbai,24.6,105000
Royal Enfield Classic,2019,20000,first owner,indore,19.8,165000
Harley-Davidson Street Rod,2019,14000,second owner,chennai,70,575000
Royal Enfield Classic,2015,31000,second owner,pune,19.8,140000
TVS Sport,2014,43808,first owner,jaipur,7.4,18000
Royal Enfield Continental,2015,10000,second owner,jaipur,29.1,88057
KTM Duke,2014,33000,first owner,delhi,44,60000
Harley-Davidson Street Bob,2014,42500,first owner,hyderabad,65,550000
Hero Super Splendor,2015,37000,first owner,delhi,9,33200
Hero Super Splendor,2006,70884,first owner,lucknow,9,20000
Bajaj Avenger Street,2016,21200,second owner,bangalore,19,58000
KTM RC,2018,9500,first owner,patna,25.1,120000
Royal Enfield Classic,2017,12177,first owner,bangalore,27.2,127500
Royal Enfield Thunderbird,2015,14000,first owner,bangalore,19.8,90000
Royal Enfield Himalayan,2016,21900,first owner,gurgaon,24.5,110000
Kawasaki Z800 2017,2017,25225,first owner,bangalore,111,675000
Harley-Davidson Street 750,2016,1700,first owner,ahmedabad,47,265000
Honda CBR 150R,2013,18950,first owner,kakinada,18.28,55000
Royal Enfield Thunderbird,2006,26000,first owner,mysore,19.8,70000
Harley-Davidson Street Bob,2017,43000,first owner,gurgaon,65,850000
Honda CBR1000RR Fireblade,2019,1590,first owner,delhi,186.3,1490000
Bajaj Avenger Cruise,2016,19400,first owner,gharghoda,19,76000
Hero Splendor Plus,2018,7400,first owner,udaipur,8.2,41900
Bajaj CT 100,2017,36000,fourth owner or more,delhi,8.1,25000
Royal Enfield Thunderbird,2015,28395,first owner,burla,19.8,102000
Suzuki Gixxer SF,2021,900,first owner,delhi,14.6,123100
Kawasaki Z650 2020,2020,2500,first owner,delhi,66.4,528425
Royal Enfield Classic,2018,46000,first owner,chitradurga,19.8,160000
Hero Splendor Plus,2013,30000,first owner,pune,8.2,34874
Royal Enfield Classic,2015,33000,first owner,bangalore,27.2,132100
Bajaj Avenger Street,2016,30000,first owner,mumbai,14.3,37500
Triumph Street Twin,2018,22000,first owner,coimbatore,54.2,580000
TVS Star Sport,2016,20000,second owner,padrauna,7.4,20100
Royal Enfield Classic,2015,25350,first owner,bangalore,19.8,103900
Bajaj Pulsar,2014,38000,third owner,mumbai,21,38000
Royal Enfield Thunderbird,2012,22000,second owner,mumbai,19.8,80000
Royal Enfield Classic,2017,12000,first owner,rajkot,19.8,141290
Royal Enfield Classic,2015,15000,third owner,rajkot,19.8,122883
Hero HF Deluxe,2020,1000,first owner,delhi,7.91,63500
Kawasaki Z650 2019,2019,3100,first owner,bangalore,67.2,600000
Royal Enfield Himalayan,2016,15000,first owner,mumbai,24.5,120000
TVS Apache RR310,2020,5200,first owner,madhubani,33,227000
Hero Passion Pro,2015,27800,second owner,hyderabad,8.2,47000
Royal Enfield Classic,2016,27600,first owner,gurgaon,19.8,112600
Hero CBZ Xtreme,2010,90000,first owner,durg,14.4,24999
Royal Enfield Bullet,2011,35000,first owner,mumbai,19.8,50000
Honda Dream Yuga,2015,31000,first owner,chennai,8,33000
Suzuki Gixxer SF,2017,19979,first owner,bangalore,14.6,75000
Benelli TNT 300,2017,10000,first owner,mumbai,37.73,259375
Suzuki Gixxer SF,2019,10000,first owner,bangalore,14.6,98000
Hero Splendor Plus,2015,26000,second owner,gurgaon,8.2,30500
Royal Enfield Classic,2018,10115,first owner,chandigarh,19.8,167000
Bajaj V15,2017,19400,first owner,delhi,11.8,38000
Hero Splendor Plus,2014,27000,second owner,ahmedabad,8.2,35880
Hero Splendor Plus,2017,27000,first owner,delhi,8.2,45000
Hero Hunk,2009,20000,second owner,delhi,14,28000
Bajaj Pulsar,2015,17000,first owner,delhi,21,50000
KTM RC 125CC,2019,8800,first owner,mumbai,14.5,150500
Hero Passion Plus,2009,22500,first owner,ludhiana,7.5,20000
Royal Enfield Classic,2014,19500,first owner,chennai,27.2,120000
Hero Passion Pro,2009,49660,first owner,delhi,8.2,18600
Royal Enfield Classic,2015,25000,first owner,bangalore,19.8,112000
KTM RC,2018,10000,first owner,hyderabad,25.1,160700
UM Renegade Commando,2018,9513,first owner,delhi,25,124950
Hero Glamour Fi,2017,17200,second owner,jaipur,9,33000
UM Renegade Sport,2017,30000,first owner,bhubaneshwar,24.8,100000
UM Renegade Commando,2017,17141,first owner,gurgaon,24.8,96050
Hero Passion Plus,2006,49000,first owner,raigarh(mh),7.5,10669
Royal Enfield Bullet,2013,14250,first owner,ghaziabad,19.8,81200
Bajaj Pulsar 200,2014,12700,first owner,valsad,24.2,45900
Royal Enfield Thunderbird,2013,45000,first owner,nadiad,19.8,70000
Royal Enfield Electra,2014,30000,first owner,delhi,19,78000
TVS Apache RR310,2019,3600,first owner,mumbai,33,210000
UM Renegade Commando,2017,9000,first owner,madurai,24.8,127200
Bajaj Avenger Street,2016,34000,first owner,ahmedabad,19,57900
UM Renegade Sport,2018,5450,first owner,delhi,24.8,122600
Royal Enfield Bullet,2010,50000,first owner,sonipat,19.8,65900
Royal Enfield Bullet,2009,36324,first owner,ghaziabad,19.8,49834
Suzuki Gixxer,2019,14100,first owner,kolkata,14,74700
Royal Enfield Classic,2018,25050,first owner,delhi,27.2,135000
Hero Glamour Programed,2019,2000,first owner,khariar,6.72,75000
Bajaj Pulsar,2009,65000,second owner,delhi,21,18400
Bajaj Avenger Street,2016,20452,first owner,coimbatore,14.3,45000
Bajaj Avenger,2013,10000,second owner,mumbai,19,33600
Royal Enfield Classic,2017,9800,first owner,mohali,19.8,110000
Royal Enfield Classic,2017,11000,first owner,delhi,19.8,119900
Royal Enfield Classic,2018,14000,first owner,chennai,27.2,160000
Triumph Thunderbird LT,2015,16000,first owner,faridabad,93,1025000
Hero Xtreme 200R,2019,43500,first owner,faridabad,18.1,75000
Royal Enfield Classic,2018,7500,first owner,delhi,19.8,125000
Yamaha YZF-R15 2.0,2014,63000,first owner,ahmedabad,16.7,62600
Yamaha FZ25,2019,2200,first owner,delhi,20.3,145000
Yamaha FZs,2015,35000,first owner,panvel,13,52000
Royal Enfield Bullet,2007,57877,second owner,faridabad,19.8,53600
Royal Enfield Thunderbird,2014,17500,first owner,surat,27.2,119500
Royal Enfield Classic,2015,9000,first owner,delhi,19.8,104000
Royal Enfield Classic,2012,19000,first owner,delhi,27.2,106667
Royal Enfield Bullet,2007,35000,first owner,delhi,19.8,62500
Bajaj Avenger Street,2017,36000,first owner,bangalore,14.3,58800
Royal Enfield Thunderbird,2017,15000,first owner,kanpur,19.8,122000
Bajaj Avenger,2018,8500,first owner,thane,19,77900
Bajaj Avenger Street,2016,14785,first owner,bangalore,14.3,58150
Royal Enfield Classic,2016,18000,first owner,delhi,19.8,114200
Bajaj Pulsar,2011,26000,first owner,bhiwani,15,23455
Bajaj Pulsar,2009,12000,first owner,bhiwani,15,16444
Royal Enfield Classic,2016,18800,first owner,delhi,19.8,115600
Ducati Diavel Carbon,2017,6000,first owner,maradu,159.7,1200000
Royal Enfield Classic,2017,14000,first owner,mumbai,19.8,123000
UM Renegade Commando,2017,6500,second owner,pune,25,132700
Bajaj Platina 110,2020,7200,first owner,delhi,8.44,65000
Royal Enfield Thunderbird,2017,25770,first owner,agra,19.8,117200
Bajaj Avenger Cruise,2019,12915,first owner,delhi,19,78800
Hero Karizma ZMR,2019,9000,first owner,kolkata,20,84400
Yamaha FZS-FI V,2020,7550,first owner,washim,12.2,92500
Bajaj Discover,2008,62000,first owner,delhi,9.64,15000
Yamaha FZ25,2018,12541,first owner,bangalore,20.3,110000
Bajaj Pulsar,2016,35000,first owner,ahmedabad,17,50200
UM Renegade Commando,2018,5000,first owner,delhi,24.8,120000
Hero Passion XPRO,2014,42000,first owner,jaipur,6.72,30000
Bajaj Pulsar AS150,2015,16834,first owner,bangalore,16.8,58000
KTM RC,2015,13933,first owner,delhi,25,160000
Hero Splendor Plus,2019,7945,first owner,delhi,8.2,62000
Yamaha YZF-R15 2.0,2014,68500,second owner,delhi,16.7,68500
Hero Passion Pro,2011,20000,first owner,mumbai,8.2,28838
Suzuki Gixxer SF,2017,15000,first owner,delhi,14.6,60000
Royal Enfield Classic,2018,10000,first owner,delhi,19.8,134600
Hero Passion Plus,2008,50183,second owner,hyderabad,7.5,29500
Royal Enfield Continental,2017,5520,first owner,delhi,29.1,138000
Royal Enfield Bullet,2016,39000,first owner,baran,,92200
Benelli TNT 300,2020,13000,first owner,belgaum,37.73,315000
Royal Enfield Classic,2015,16000,first owner,delhi,19.8,108000
Royal Enfield Classic,2017,2200,first owner,delhi,19.8,135000
Royal Enfield Thunderbird,2015,22000,first owner,pune,27.2,133100
Royal Enfield Classic,2017,24857,first owner,mumbai,27.2,159700
Bajaj V12,2018,17000,first owner,chhindwara,12,60000
Bajaj Avenger,2011,19000,first owner,ghaziabad,19,28300
Royal Enfield Thunderbird,2014,27746,first owner,bangalore,19.8,112000
Royal Enfield Thunderbird,2014,30300,first owner,delhi,19.8,97900
KTM Duke,2019,8265,first owner,bangalore,42.9,280000
Yamaha YZF-R15 2.0,2016,24528,first owner,delhi,16.7,72000
Benelli TNT 899,2015,3174,first owner,jajpur,119.37,569400
Suzuki Gixxer,2017,16000,first owner,gurgaon,14,47000
Yamaha FZs,2013,48000,first owner,delhi,13,38700
Honda CB Trigger,2014,33700,first owner,hyderabad,14,42000
Yamaha YZF-R15 2.0,2012,46000,first owner,mumbai,16.7,48300
Harley-Davidson Street 750,2016,5838,first owner,coimbatore,47,390000
Bajaj Avenger,2015,15495,first owner,gurgaon,19,35000
Bajaj CT 100,2019,4000,first owner,delhi,8.1,45000
Royal Enfield Classic,2018,11277,first owner,hyderabad,27.2,175000
Kawasaki Ninja 300,2019,1750,first owner,kanpur,39,290000
Yamaha YZF-R15 2.0,2013,25000,first owner,delhi,16.7,52300
Bajaj Avenger Street,2018,16757,first owner,bangalore,19,78000
Royal Enfield Classic,2013,46031,first owner,jind,19.8,74600
Harley-Davidson Street 750,2016,5400,second owner,pune,47,360200
Hero Super Splendor,2017,33000,first owner,ghaziabad,9,40000
KTM Duke,2015,25000,second owner,mumbai,25,73600
Bajaj Pulsar,2015,67000,first owner,mumbai,21,41400
Bajaj V15,2017,5000,first owner,ajmer,11.8,50000
Suzuki Gixxer SF,2015,15000,first owner,bangalore,14.6,60000
Hero Glamour,2012,28000,second owner,sultanpur,8.9,24500
Bajaj Avenger,2016,22500,second owner,bangalore,19,85000
Royal Enfield Classic,2012,24800,first owner,malappuram,27.2,125000
Hero Passion Pro,2017,12771,first owner,ernakulam,8.2,29339
Kawasaki Z650 2020,2020,2000,first owner,kalyan,67.2,540000
Royal Enfield Classic,2014,60000,first owner,ludhiana,19.8,107000
Royal Enfield Classic,2016,17340,first owner,gurgaon,19.8,120000
Yamaha YZF-R15 S,2016,30000,first owner,pune,16,59250
Hyosung Aquila GV250,2016,13500,first owner,nagpur,26.21,155000
Bajaj V15,2018,16000,first owner,gwalior,11.8,45000
Bajaj Avenger,2011,21045,second owner,bangalore,19,35000
Royal Enfield Classic,2012,24800,first owner,malappuram,27.2,125500
Bajaj Avenger,2013,15628,first owner,gurgaon,19,40000
Bajaj Avenger Street,2017,29500,first owner,hyderabad,19,68000
UM Renegade Commando,2017,7000,first owner,bangalore,24.8,115000
Royal Enfield Bullet,2008,50000,first owner,delhi,19.8,125000
Royal Enfield Classic,2017,23700,first owner,delhi,19.8,121000
Royal Enfield Thunderbird,2019,16000,first owner,delhi,19.8,163600
Bajaj Avenger,2017,14000,first owner,hyderabad,19,80000
Royal Enfield Classic,2018,4700,first owner,kolkata,19.8,145100
Bajaj Pulsar,2012,14000,second owner,bangalore,17,39000
Bajaj Avenger,2013,30000,first owner,mumbai,19,44000
Royal Enfield Classic,2012,7630,first owner,chandigarh,27.2,97700
Bajaj Pulsar 220F,2020,9000,first owner,vadodara,20.11,125100
KTM Duke,2019,16000,first owner,mangalore,42.9,290000
KTM RC,2015,5500,first owner,thane,25,120000
Royal Enfield Thunderbird,2018,4700,second owner,gurgaon,27.2,155000
Yamaha FZs,2016,13887,first owner,bangalore,13,58727
Hero Passion,2005,98000,first owner,barasat,7.5,38000
Hero Xtreme,2014,54000,first owner,gandhinagar,14.2,22300
Royal Enfield Thunderbird,2013,33300,first owner,bangalore,27.2,140000
Hero Splendor iSmart,2015,21699,first owner,jaipur,8.2,38000
Bajaj Pulsar,2011,25000,first owner,ichalkaranji,21,80000
Bajaj Avenger Street,2017,28000,first owner,hyderabad,14.3,58200
Bajaj Pulsar,2016,10446,second owner,delhi,21,80999
Suzuki Gixxer,2015,41000,first owner,ghaziabad,14,41300
Harley-Davidson Street 750,2016,5900,first owner,dehradun,47,350000
Royal Enfield Himalayan,2019,8000,first owner,chandigarh,24.5,170000
KTM Duke,2020,4000,first owner,delhi,24.6,180000
Hero Karizma R,2011,23300,first owner,kolkata,17,30000
KTM Duke,2018,5610,first owner,delhi,42.9,195000
Bajaj Pulsar,2013,34000,first owner,phagwara,15,31000
Royal Enfield Classic,2017,6000,first owner,delhi,19.8,130000
KTM RC,2016,10000,first owner,pune,42.3,160000
Royal Enfield Classic,2012,10635,third owner,bangalore,27.2,90000
Bajaj Avenger,2016,25000,second owner,visakhapatnam,19,65000
Royal Enfield Classic,2015,16500,first owner,pune,19.8,115000
Triumph Street Triple,2016,7800,third owner,mumbai,77,599999
Bajaj Avenger,2014,30000,first owner,pune,19,59000
Yamaha FZ25,2018,40,first owner,delhi,20.3,125000
KTM Duke,2014,11500,first owner,tirupati,44,145000
Bajaj Avenger Street,2016,39500,first owner,ghaziabad,14.3,37000
Royal Enfield Classic,2018,15000,first owner,delhi,19.8,133000
Kawasaki ER-6n,2015,6500,second owner,pune,71,275000
TVS Apache RR310,2019,4444,first owner,mumbai,33,195000
Bajaj Avenger Street,2020,3000,first owner,agra,14.79,110000
Royal Enfield Bullet,2001,22000,first owner,margao,19.8,130000
Royal Enfield Bullet,2014,72000,first owner,ghaziabad,19.8,91600
Royal Enfield Classic,2018,6093,first owner,faridabad,19.8,135000
Royal Enfield Bullet,2010,27000,first owner,saharanpur,19.8,78000
Royal Enfield Classic,2019,6000,first owner,bangalore,19.8,184100
Yamaha YZF-R15 2.0,2016,9800,first owner,pune,16.7,90000
Royal Enfield Thunderbird,2016,27500,first owner,pune,19.8,155000
KTM RC,2017,20000,first owner,chennai,25.1,155000
Royal Enfield Himalayan,2016,15600,second owner,delhi,24.5,99750
KTM Duke,2015,35000,first owner,erode,44,150000
Royal Enfield Classic,2018,25000,first owner,baraut,19.8,155000
Suzuki Gixxer SF,2015,38000,first owner,guwahati,14.6,44000
KTM Duke,2014,32000,second owner,mangalore,44,130000
Royal Enfield Classic,2019,2500,first owner,delhi,19.8,180000
KTM Duke,2018,38738,first owner,hyderabad,24.6,145250
Hero Xtreme Sports,2018,13000,first owner,hyderabad,11.64,63000
Hero Karizma R,2015,42000,first owner,bangalore,17,40000
Bajaj Pulsar NS200,2015,26000,first owner,bhopal,24.2,62000
Hero HF Deluxe,2013,16615,first owner,jaipur,7.7,25000
Suzuki Gixxer SF,2017,19000,first owner,bangalore,14.6,72500
Yamaha FZS-FI V,2020,9600,first owner,noida,12.2,96800
Royal Enfield Classic,2015,14500,first owner,vadodara,19.8,115300
Royal Enfield Classic,2014,14000,first owner,kolkata,19.8,112900
Royal Enfield Classic,2019,17520,first owner,ghaziabad,19.8,149300
Suzuki Gixxer,2016,46530,first owner,ahmedabad,14,43000
Bajaj Avenger Street,2017,30000,first owner,indore,14.3,48750
Royal Enfield Classic,2014,19000,first owner,bangalore,19.8,119500
Hero Splendor ISmart,2016,30671,first owner,panipat,7,34000
KTM Duke,2017,17300,second owner,gurgaon,42.9,165000
Royal Enfield Classic,2014,26000,first owner,hyderabad,27.2,120000
Yamaha FZs,2019,11186,first owner,delhi,13,85000
Bajaj Avenger Cruise,2018,1800,first owner,bangalore,19,75400
Royal Enfield Bullet,2018,15000,first owner,pune,19.8,126600
Bajaj Avenger Street,2016,25000,first owner,bangalore,14.3,55000
Honda CBR 150R,2012,39809,first owner,delhi,18.28,75000
Honda CBR 150R,2012,5500,first owner,pune,18.28,69000
Royal Enfield Classic,2017,30000,first owner,delhi,19.8,150000
Royal Enfield Thunderbird,2014,70000,second owner,pune,27.2,120000
Hero Super Splendor,2018,7329,first owner,ludhiana,9,44000
Royal Enfield Bullet,2016,7000,second owner,silvasa,26.37,171000
Yamaha YZF-R15 2.0,2015,34786,second owner,pilibhit,16.7,70700
Hero Passion Xpro,2018,31000,first owner,cuddalore,8,37500
Yamaha FZ25,2017,26000,first owner,chennai,20.3,95000
Royal Enfield Classic,2016,7500,first owner,mumbai,19.8,124500
KTM Duke,2020,3500,first owner,mumbai,24.6,165000
Royal Enfield Thunderbird,2015,12000,first owner,bangalore,19.8,110000
Royal Enfield Classic,2019,26000,first owner,hyderabad,19.8,160000
Royal Enfield Classic,2017,16000,first owner,delhi,19.8,114900
Bajaj V15,2016,11500,first owner,gurgaon,11.8,30000
Bajaj V12,2017,12500,first owner,gurgaon,12,34000
Yamaha YZF-R15 S,2018,21000,first owner,hyderabad,16,95000
