老矫,夸老 备盒,乞闭扁柯,弥历扁柯,弥绊扁柯,老碍荐樊,弥措 浅加,乞闭 浅加,弥家 惑措嚼档,乞闭 惑措嚼档,乞闭 泅瘤扁拘,钦拌 老炼矫埃,钦拌 老荤樊
2020-10-02,绒老,19.2,16.3,21.9,0,5.2,2.3,63,79.6,1004.6,1.9,6.34
2020-10-03,绒老,19.9,18.3,23.2,0,3.6,1.6,46,72.5,1004.9,1.8,9.79
2020-10-04,绒老,16.6,10.6,21.8,0,7.2,2.8,42,65.1,1002.7,4.3,12.36
2020-10-05,乞老,13.3,8.5,18.4,,5.1,2.5,40,57.3,1007.9,10.5,19.44
2020-10-06,乞老,14.2,9.3,19.7,,4.1,2,34,55.9,1012.2,10.8,19.81
2020-10-07,乞老,16,9.9,22,,3.4,1.9,24,48.9,1015.8,8.9,16.99
2020-10-08,乞老,17.2,12.1,23.1,,5.4,3.1,35,53,1016.7,10.8,19.27
2020-10-09,绒老,17.2,12.4,23.3,,5.2,3,42,53.4,1013.2,10.6,18.55
2020-10-10,绒老,16.9,12.3,21.5,,3.8,2,41,60.1,1009.7,7.6,15.28
2020-10-11,绒老,16.9,12.7,20.8,,4.1,1.8,52,68.5,1006.1,4.9,11.45
2020-10-12,乞老,16.2,12.1,21.3,,4.6,2.2,48,68.6,1005.2,7.5,13.59
2020-10-13,乞老,13.6,8.6,18.4,,4.7,2.2,30,52.3,1010.7,7.1,14.16
2020-10-14,乞老,12.8,8.5,18,,5.8,2.4,20,47,1014.6,5.8,12.19
2020-10-15,乞老,11.7,6.5,18.5,,3.7,1.5,27,41.8,1015.8,7.2,14.48
2020-10-16,乞老,11.8,8.6,15.4,,2.5,1.5,48,64.3,1013.7,0,5.28
2020-10-17,绒老,13.1,8.7,18.6,,4.3,1.8,26,64.3,1013,10.1,17.65
2020-10-18,绒老,13.6,7.2,20.2,,3.9,2,40,65.5,1013.6,9.7,15.96
2020-10-19,乞老,15.1,9.8,21.3,,3.4,1.7,38,74.4,1014.7,9.8,15.27
2020-10-20,乞老,15.2,9.9,21.7,,3.1,1.6,38,67.1,1015.4,10,15.67
2020-10-21,乞老,14.1,11.8,17.3,,3.8,1.9,58,69.4,1008.6,0.1,4.72
2020-10-22,乞老,13.5,8.4,18.2,0,5.7,2.8,40,66,1003.5,5.4,11.01
2020-10-23,乞老,8.6,5.4,13.3,,5.5,3,34,51.5,1004.9,9.9,17.01
2020-10-24,绒老,8.7,3.2,14,,5.9,2.5,27,47.6,1008.7,9.9,16.65
2020-10-25,绒老,11.8,5.4,18.2,,3.8,1.7,29,62.5,1009.9,8.8,13.83
2020-10-26,乞老,12.9,8,19,,4.4,1.6,42,71.6,1009.8,9.2,13.69
2020-10-27,乞老,14,9,19.4,,3.4,1.8,39,74.1,1010.9,8.3,12.23
2020-10-28,乞老,13.8,8.6,18.2,,4.8,2.5,23,52.1,1012.6,9.2,15.27
2020-10-29,乞老,10.8,5.5,16.1,,4.5,2,24,40.3,1013.7,9,13.77
2020-10-30,乞老,11.9,5.8,19.6,,3.2,1.5,22,42.9,1015.2,9.7,14.62
2020-10-31,绒老,13.6,8.5,18.2,,5,2.6,51,60.3,1013.9,5.8,11.03
2020-11-01,绒老,13.7,11.6,15,13.6,4.5,2.3,56,84.3,1009.2,0,1.61
2020-11-02,乞老,10.8,7.9,15.6,1.7,4.9,2.3,24,58.3,1010.1,9.6,14.6
2020-11-03,乞老,5.1,2.7,8.6,0.5,8.4,3.5,33,47.5,1011.9,9.2,15.22
2020-11-04,乞老,4.9,0.2,10.8,,4.2,2.3,20,43.9,1015.2,9.6,15.36
2020-11-05,乞老,9.6,3.4,15.9,,3,1.8,41,61.5,1016.7,8.4,12.77
2020-11-06,乞老,13.5,9.9,17.2,,3.3,1.7,49,63.3,1010.9,0.3,5.65
2020-11-07,绒老,14.6,12.2,18.1,0.1,4.9,2.7,38,68.8,1007.6,7,11.01
2020-11-08,绒老,8.5,3.1,12.4,,6.2,3.1,18,43.8,1012.3,9.5,14.66
2020-11-09,乞老,5.5,0.7,8.9,,4,1.8,23,40.9,1015.2,6,10.48
2020-11-10,乞老,7.7,3.5,12.9,,5,2.2,34,56.1,1017.9,9.6,13.61
2020-11-11,乞老,9.3,3.5,16.5,,2.6,1.6,31,53.5,1021.3,9.6,12.96
2020-11-12,乞老,10.4,4.6,17.7,,3.4,1.7,30,56.9,1019.9,9.4,12.27
2020-11-13,乞老,12.2,8.5,17.6,,3,1.6,44,71.5,1018.2,5.5,8.92
2020-11-14,绒老,12.5,6.8,19.3,,4,1.7,38,66.9,1018.9,8,11.58
2020-11-15,绒老,11.1,8.2,14.9,,3.7,1.7,61,75,1017.1,6.8,9.52
2020-11-16,乞老,12.4,7.5,18.3,,4.1,1.6,45,70.1,1015.9,8.4,10.76
2020-11-17,乞老,15.9,11.7,20,0.1,4.5,2.3,52,67.5,1013.2,1.3,5.7
2020-11-18,乞老,16.6,14.8,18.7,12.2,3.6,2.6,77,91.4,1005.5,0,2.63
2020-11-19,乞老,13.6,6.9,19.1,86.9,7.3,4.2,78,90.5,998,0,0.96
2020-11-20,乞老,2.8,0.3,7,0,5.6,3.2,68,74.3,1009.3,0,2.74
2020-11-21,绒老,6.5,-0.3,12.8,0.2,4.8,2.1,48,67.9,1013.1,6.6,10.52
2020-11-22,绒老,5.6,1.5,9.1,4.8,5.7,2.5,66,80.5,1012.4,0.4,3.61
2020-11-23,乞老,1.7,-1.5,5.9,,4.9,2.3,36,61.4,1017.8,9.2,12.35
2020-11-24,乞老,2.9,0.2,6.4,,3.8,1.8,39,54.5,1018,1.3,6.33
2020-11-25,乞老,4.6,0,9.5,,3,1.5,45,64.1,1017,4.6,8.32
2020-11-26,乞老,5.6,1.9,10.9,,3.6,1.7,42,66.5,1016.5,6.6,9.8
2020-11-27,乞老,4.1,0.6,7.7,0,5.3,2.7,44,61.6,1015.4,5,8.52
2020-11-28,绒老,-0.1,-2.3,2.8,,5.3,2.8,30,50,1018.3,9,11.89
2020-11-29,绒老,-0.6,-3.6,2.6,,4.5,2.2,52,59.6,1019.3,1.5,5.61
2020-11-30,乞老,-0.2,-3.6,4.3,,4.6,1.9,38,57.8,1024.1,9.1,11.55
2020-12-01,乞老,1.1,-3.6,6.7,,4,1.9,24,44.5,1024.7,7.3,10.69
2020-12-02,乞老,2.4,0.5,6.1,,3.9,1.8,25,41.4,1020.2,3.4,6.38
2020-12-03,乞老,0.7,-2.3,4.2,,4.9,2.7,36,47.1,1019.1,9.1,11.52
2020-12-04,乞老,-0.6,-4.6,4.4,,4.3,1.8,30,53.8,1019.6,9,11.62
2020-12-05,绒老,2.1,-2.2,6.6,,3.9,1.7,51,63.1,1019.1,5.1,8.18
2020-12-06,绒老,4.5,1.2,9.1,,4.3,1.8,46,66.9,1017.4,6,8.37
2020-12-07,乞老,3.4,-0.7,6.3,,5.6,2.6,37,57.5,1017.6,7.4,8.93
2020-12-08,乞老,-0.5,-3.5,4.1,,3.9,2,28,50,1018.2,8.7,11.4
2020-12-09,乞老,1.5,-4.1,6.2,,3,1.5,35,55.1,1015.9,5.9,8.48
2020-12-10,乞老,5.8,3.2,9.3,0,3.5,1.7,57,69.9,1011.8,1.1,4.74
2020-12-11,乞老,5.3,2.6,9.4,,4.5,1.8,57,77.1,1009.1,2.4,5.85
2020-12-12,绒老,2.3,-0.3,6.1,,4.8,2.1,32,51.3,1009,8.6,10.22
2020-12-13,绒老,-1.1,-6,2,2.9,6.1,2.9,52,74.9,1008.4,1.1,1.9
2020-12-14,乞老,-7.7,-9.7,-5,,5.3,3.4,31,49.1,1018.3,8.9,11.44
2020-12-15,乞老,-8.3,-11.1,-4.6,,5.2,2.8,28,43,1020.5,9,11.61
2020-12-16,乞老,-8.3,-11.2,-3.9,,4.6,2.6,29,43.9,1020.6,9,11.44
2020-12-17,乞老,-4.9,-11.1,0.8,0,3.7,1.7,24,47,1019.6,9,11.15
2020-12-18,乞老,-2.1,-6.4,1.8,0.2,5.4,3,34,57,1017.7,5.5,8.45
2020-12-19,绒老,-5.1,-9.6,-1.2,,5.1,2.4,26,45.1,1022.4,9,11.27
2020-12-20,绒老,-3.7,-8.2,1.1,,4.4,2,29,50.4,1021.6,9.1,11
2020-12-21,乞老,-1,-6,4.7,,3.7,1.6,40,64.1,1018.4,8.8,9.99
2020-12-22,乞老,2,-2.5,7.2,,4.7,2,42,67.6,1015.3,5.2,7.83
2020-12-23,乞老,4.5,-0.4,8.5,0,5.1,2.3,62,76.6,1011.3,1.7,4.6
2020-12-24,乞老,2.6,-2,6.1,,6.5,2.9,35,61.5,1007.8,7.9,9.82
2020-12-25,绒老,-0.8,-4.7,3.5,,4.7,2.1,34,51.9,1012.8,9,10.88
2020-12-26,绒老,2.2,-2.1,8,,3.9,1.8,49,65.8,1013.5,8.2,8.99
2020-12-27,绒老,5.8,1.4,10,0,2.8,1.8,48,62.9,1011,5.9,8.12
2020-12-28,乞老,6.7,4.2,11.4,1.3,3.1,1.4,45,72.1,1012.6,8,9.12
2020-12-29,乞老,0.1,-6.2,4.3,0.2,6.1,2.9,40,70.8,1011,0,1.98
2020-12-30,乞老,-10.9,-12.9,-6.2,,6.2,4.1,41,55.5,1012.5,8.3,11.36
2020-12-31,乞老,-8.9,-12.9,-5,0,4.2,2.4,42,53.9,1015.4,6,9.06
